Psgc	Region	Province	Town	Barangay
43405010	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	CAMALIGAN
72217044	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	LUZ
133904015	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAN NICOLAS	BARANGAY 282
43404012	REGION IV-A (CALABARZON)	LAGUNA	CABUYAO	PITTLAND
133902002	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 288
133902006	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 292
133902001	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 287
133902008	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 294
133905003	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 299
133905008	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 304
137603003	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MUNTINLUPA	BULI
133902004	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 290
133905002	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 298
133913005	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	PORT AREA	BARANGAY 653
133902010	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 296
133904018	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAN NICOLAS	BARANGAY 285
133903015	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	QUIAPO	BARANGAY 306
133904017	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAN NICOLAS	BARANGAY 284
133905015	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 313
137404019	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	CAMP AGUINALDO
133902007	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 293
43405051	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	SAIMSIM
133903016	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	QUIAPO	BARANGAY 307
133905005	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 301
133905006	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 302
133901267	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	TONDO I/II	BARANGAY 266
133903017	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	QUIAPO	BARANGAY 308
133905001	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 297
137404025	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	CULIAT
137604010	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF PARANAQUE	MERVILLE
72217013	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	BUDLA-AN (POB.)
137404055	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	LOYOLA HEIGHTS
137602018	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	PIO DEL PILAR
72217029	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	GUADALUPE
137401001	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF MANDALUYONG	ADDITION HILLS
137604015	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF PARANAQUE	SUN VALLEY
137404116	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	SOUTH TRIANGLE
137404044	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	HORSESHOE
137403011	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	MANGGAHAN
45805015	REGION IV-A (CALABARZON)	RIZAL	CAINTA	SAN ISIDRO
42106011	REGION IV-A (CALABARZON)	CAVITE	CITY OF DASMARINAS	SALAWAG
64501059	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BACOLOD CITY	VILLAMONTE
45813005	REGION IV-A (CALABARZON)	RIZAL	TAYTAY	SANTA ANA
35409011	REGION III (CENTRAL LUZON)	PAMPANGA	MABALACAT	LAKANDULA
137604008	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF PARANAQUE	DON BOSCO
42103027	REGION IV-A (CALABARZON)	CAVITE	BACOOR CITY	QUEENS ROW EAST
137404012	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	BAHAY TORO
137401013	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF MANDALUYONG	HIGHWAY HILLS
137404139	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	BATASAN HILLS
137403006	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	DELA PAZ
137602009	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	GUADALUPE NUEVO
72217015	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	BULACAO
112402101	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	SASA
137602020	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	POBLACION
137404119	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	TALIPAPA
72226018	REGION VII (CENTRAL VISAYAS)	CEBU	LAPU-LAPU CITY	PAJAC
137404140	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	HOLY SPIRIT
72227014	REGION VII (CENTRAL VISAYAS)	CEBU	LILOAN	YATI
72226017	REGION VII (CENTRAL VISAYAS)	CEBU	LAPU-LAPU CITY	MARIGONDON
112402021	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	BUHANGIN (POB.)
42103034	REGION IV-A (CALABARZON)	CAVITE	BACOOR CITY	HABAY II
112402063	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	MAGTUOD
72230024	REGION VII (CENTRAL VISAYAS)	CEBU	MANDAUE CITY	TAWASON
72219018	REGION VII (CENTRAL VISAYAS)	CEBU	CONSOLACION	TAYUD
42103008	REGION IV-A (CALABARZON)	CAVITE	BACOOR CITY	HABAY I
137405009	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF SAN JUAN	LITTLE BAGUIO
72219009	REGION VII (CENTRAL VISAYAS)	CEBU	CONSOLACION	NANGKA
31410025	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	LONGOS
72250006	REGION VII (CENTRAL VISAYAS)	CEBU	CITY OF TALISAY	LAGTANG
35404011	REGION III (CENTRAL LUZON)	PAMPANGA	BACOLOR	MALIWALU
43428023	REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	TAGAPO
112402030	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	CATALUNAN GRANDE
137601012	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF LAS PINAS	MANUYO DOS
137404133	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	WEST TRIANGLE
112319022	REGION XI (DAVAO REGION)	DAVAO DEL NORTE	CITY OF TAGUM (CAPITAL)	VISAYAN VILLAGE
137404028	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	DAMAYANG LAGI
72227010	REGION VII (CENTRAL VISAYAS)	CEBU	LILOAN	SAN VICENTE
41014010	REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	BANAYBANAY
112402110	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	TACUNAN
137404077	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	PANSOL
41014077	REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	BARANGAY 12 (POB.)
72219003	REGION VII (CENTRAL VISAYAS)	CEBU	CONSOLACION	CASILI
42104010	REGION IV-A (CALABARZON)	CAVITE	CARMONA	MADUYA
42104008	REGION IV-A (CALABARZON)	CAVITE	CARMONA	LANTIC
137404075	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	PALIGSAHAN
72220003	REGION VII (CENTRAL VISAYAS)	CEBU	CORDOBA	BUAGSONG
137405010	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF SAN JUAN	MAYTUNAS
43404016	REGION IV-A (CALABARZON)	LAGUNA	CABUYAO	DIEZMO
72217034	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	KALUNASAN
112402010	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	BALIOK
31410056	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	COFRADIA
137605076	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	PASAY CITY	BARANGAY 76
41014071	REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	TAMBO
137404124	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	U.P. CAMPUS
72250004	REGION VII (CENTRAL VISAYAS)	CEBU	CITY OF TALISAY	DUMLOG
112402055	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	LANGUB
112402186	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	LAPU-LAPU
137606009	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	PATEROS	SANTO ROSARIO-SILANGAN
37107020	REGION III (CENTRAL LUZON)	ZAMBALES	OLONGAPO CITY	WEST TAPINAC
112402125	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	TIGATTO
137404016	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	BLUE RIDGE B
42109061	REGION IV-A (CALABARZON)	CAVITE	IMUS CITY	MALAGASANG I-F
133906235	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAMPALOC	BARANGAY 628
35402009	REGION III (CENTRAL LUZON)	PAMPANGA	APALIT	PALIGUI
41014032	REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	MUNTING PULO
137404053	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	LIBIS
31403025	REGION III (CENTRAL LUZON)	BULACAN	BALIUAG	TARCAN
31410020	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	CANIOGAN
137601007	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF LAS PINAS	PULANG LUPA UNO
137604006	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF PARANAQUE	TAMBO
35415017	REGION III (CENTRAL LUZON)	PAMPANGA	PORAC	MANIBAUG LIBUTAD
42118045	REGION IV-A (CALABARZON)	CAVITE	SILANG	TARTARIA
112402077	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	MATINA PANGI
112402087	REGION XI (DAVAO REGION)	DAVAO DEL SUR	DAVAO CITY	PANACAN
137404045	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	IMMACULATE CONCEPCION
35404006	REGION III (CENTRAL LUZON)	PAMPANGA	BACOLOR	CONCEPCION
133905012	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 310
133911042	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	PACO	BARANGAY 827
42118046	REGION IV-A (CALABARZON)	CAVITE	SILANG	TIBIG
137607003	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	TAGUIG CITY	BAMBANG
42118016	REGION IV-A (CALABARZON)	CAVITE	SILANG	INCHICAN
72226024	REGION VII (CENTRAL VISAYAS)	CEBU	LAPU-LAPU CITY	PUSOK
72217007	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	BANILAD
72226021	REGION VII (CENTRAL VISAYAS)	CEBU	LAPU-LAPU CITY	POBLACION
137607018	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	TAGUIG CITY	WESTERN BICUTAN
37107013	REGION III (CENTRAL LUZON)	ZAMBALES	OLONGAPO CITY	MABAYUAN
137403013	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	ORANBO
72217087	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	ZAPATERA
72217070	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	SANTA CRUZ (POB.)
72217037	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	KASAMBAGAN
37114004	REGION III (CENTRAL LUZON)	ZAMBALES	SUBIC	BARACA-CAMACHILE (POB.)
72217085	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	TISA
137607016	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	TAGUIG CITY	USUSAN
137607014	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	TAGUIG CITY	TUKTUKAN
137405020	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF SAN JUAN	WEST CRAME
137403016	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	PINEDA
137403019	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	SAN ANTONIO
137605183	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	PASAY CITY	BARANGAY 183
133906106	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAMPALOC	BARANGAY 500
72226019	REGION VII (CENTRAL VISAYAS)	CEBU	LAPU-LAPU CITY	PAJO
72230003	REGION VII (CENTRAL VISAYAS)	CEBU	MANDAUE CITY	BANILAD
72217040	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	LABANGON
37114009	REGION III (CENTRAL LUZON)	ZAMBALES	SUBIC	CALAPANDAYAN (POB.)
72217046	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	MABOLO
72217042	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	LOREGA (LOREGA SAN MIGUEL)
72217025	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	DAY-AS
137605201	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	PASAY CITY	BARANGAY 201
137404102	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	SAN ROQUE
72217078	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	T. PADILLA
37114002	REGION III (CENTRAL LUZON)	ZAMBALES	SUBIC	ASINAN POBLACION
37114003	REGION III (CENTRAL LUZON)	ZAMBALES	SUBIC	ASINAN PROPER
72217041	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	LAHUG (POB.)
133910013	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	MALATE	BARANGAY 698
72217031	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	HIPPODROMO
137404115	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	SOCORRO
72217021	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	CARRETA
72217023	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	COGON RAMOS (POB.)
137404062	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	MARILAG
137404108	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	SANTO CRISTO
133908011	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	ERMITA	BARANGAY 669
137404040	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	ESCOPA IV
137404059	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	MANGGA
37114016	REGION III (CENTRAL LUZON)	ZAMBALES	SUBIC	MATAIN
72217081	REGION VII (CENTRAL VISAYAS)	CEBU	CEBU CITY	TALAMBAN
137403012	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	MAYBUNGA
72230002	REGION VII (CENTRAL VISAYAS)	CEBU	MANDAUE CITY	BAKILID
37107008	REGION III (CENTRAL LUZON)	ZAMBALES	OLONGAPO CITY	GORDON HEIGHTS
137404082	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	PINYAHAN
72226013	REGION VII (CENTRAL VISAYAS)	CEBU	LAPU-LAPU CITY	IBO
137401008	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF MANDALUYONG	BUAYANG BATO
42118014	REGION IV-A (CALABARZON)	CAVITE	SILANG	HUKAY
137404114	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	SILANGAN
137404039	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	ESCOPA III
137404085	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	QUIRINO 2-A
42118029	REGION IV-A (CALABARZON)	CAVITE	SILANG	MUNTING ILOG
137404088	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	QUIRINO 3-A
137404007	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	BAGUMBUHAY
133906004	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAMPALOC	BARANGAY 398
31420036	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MAHARLIKA
133906103	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAMPALOC	BARANGAY 497
137605044	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	PASAY CITY	BARANGAY 44
42109085	REGION IV-A (CALABARZON)	CAVITE	IMUS CITY	PASONG BUAYA II
137401022	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF MANDALUYONG	PLAINVIEW
42103026	REGION IV-A (CALABARZON)	CAVITE	BACOOR CITY	QUEENS ROW CENTRAL
137402007	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF MARIKINA	PARANG
137403030	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	SANTA LUCIA
137403005	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	CANIOGAN
45802004	REGION IV-A (CALABARZON)	RIZAL	CITY OF ANTIPOLO (CAPITAL)	MAYAMOT
64501057	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BACOLOD CITY	TACULING
64501047	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BACOLOD CITY	ESTEFANIA
